Formula Name, Formula, Test results, Train results.
MC_GP_6,"sub(sub(add(np, np), sub(mul(mul(mul(ef, np), mul(np, sub(mul(np, mul(mul(nf, np), ef)), add(mul(ef, np), np)))), nf), add(np, np))), mul(sub(mul(mul(ef, np), mul(np, sub(mul(np, mul(mul(nf, ep), add(np, nf))), np))), nf), np))",1.43981,1.44396
MC_GP_7,"add(div(1, add(ep, add(ef, div(1, add(ep, add(nf, add(ef, ef))))))), ef)",1.48388,1.45469
MC_GP_8,"sub(div(ef, add(add(sqrt(div(nf, div(sqrt(sub(ep, ef)), add(div(div(1, np), mul(ep, 1)), np)))), div(div(nf, div(1, div(1, np))), np)), div(sqrt(sqrt(sqrt(add(ef, div(sub(ep, np), np))))), np))), add(div(nf, mul(np, nf)), add(ef, add(sqrt(div(np, sub(ep, ef))), sqrt(add(ef, sub(ep, ef)))))))",2.60583,1.44244
MC_GP_9,"sub(div(np, add(add(add(add(np, add(np, add(add(ep, 1), nf))), sqrt(sub(np, div(np, np)))), add(sqrt(nf), add(np, div(np, add(ef, add(np, ef)))))), sqrt(sqrt(add(np, sqrt(ef)))))), mul(ef, sub(nf, div(np, add(add(np, sqrt(ef)), add(np, sqrt(add(np, add(np, add(np, ef))))))))))",1.66649,1.44396
MC_GP_10,"sub(sqrt(mul(sqrt(sqrt(mul(sqrt(add(div(div(nf, ef), 1), sqrt(sqrt(np)))), 1))), 1)), div(div(div(nf, ef), div(1, ef)), mul(sqrt(1), sqrt(add(div(div(ef, ef), 1), add(div(add(div(div(nf, ef), 1), sqrt(sqrt(np))), 1), sqrt(1)))))))",1.66649,1.44396
SEQ_GP_1,"mul(sqrt(add(add(add(sqrt(add(sqrt(add(ep, np)), np)), ef), add(add(sqrt(add(np, sqrt(ep))), add(add(np, add(add(ef, np), ef)), add(add(nf, ef), mul(div(1, np), add(ep, np))))), add(sqrt(ef), add(add(np, add(add(np, np), ef)), add(add(nf, add(ep, np)), mul(div(1, np), add(ep, np))))))), mul(ef, 1))), ef)",2.07024,0.10590
SEQ_GP_2,"sqrt(add(1, add(add(add(mul(add(div(div(1, np), np), 1), div(div(ep, ep), ep)), add(add(1, ef), 1)), ef), ef)))",1.96323,0.10590
SEQ_GP_3,"mul(mul(sub(div(div(div(ep, div(add(div(add(np, np), div(ef, nf)), nf), div(ef, add(1, ep)))), add(1, 1)), ef), add(nf, add(div(ef, np), sqrt(np)))), mul(div(1, np), sqrt(np))), div(div(1, add(add(ef, nf), div(add(nf, np), div(ef, add(mul(div(ef, np), sqrt(np)), ep))))), add(mul(ef, add(mul(nf, np), div(add(ef, nf), div(ef, add(div(nf, np), ep))))), mul(ef, add(sub(add(1, ep), np), div(add(nf, np), div(ef, add(1, ep))))))))",2.06155,0.06167
SEQ_GP_4,"sqrt(sub(sub(sqrt(sub(sub(mul(sub(ef, mul(ef, add(ef, ef))), ef), div(ep, add(sub(mul(ef, ep), ef), sub(mul(ef, np), mul(nf, np))))), ep)), div(sub(sub(ef, mul(ef, add(ef, ef))), div(mul(np, ep), add(nf, ef))), add(nf, 1))), sub(mul(ef, ep), mul(ef, np))))",1.79851,0.06019
SEQ_GP_5,"sqrt(mul(mul(ef, sub(ef, mul(ef, sub(sub(ef, np), mul(ef, sub(sub(ep, np), ef)))))), mul(ef, mul(ef, mul(sqrt(ef), mul(ef, sub(ep, mul(ef, sub(sub(ep, np), ef)))))))))",2.33181,0.06019
SEQ_GP_6,"sub(ef, div(div(mul(sub(div(sub(np, ep), np), ep), sub(div(np, sub(np, ep)), ef)), ef), np))",1.93734,0.06045
SEQ_GP_7,"mul(add(sqrt(sqrt(sub(sub(np, sqrt(sub(np, ep))), sqrt(sub(add(sub(np, sqrt(ef)), np), sqrt(ef)))))), add(sqrt(add(ef, add(sqrt(sub(sqrt(sub(ef, ep)), ep)), sqrt(add(sqrt(sub(ef, ep)), sub(ef, ep)))))), ef)), ef)",2.16878,0.05893
SEQ_GP_8,"sub(add(div(add(sqrt(ep), sqrt(np)), sub(nf, np)), sqrt(sqrt(mul(1, sqrt(sqrt(mul(sqrt(1), sqrt(np)))))))), add(mul(sqrt(sqrt(sqrt(mul(sqrt(1), sqrt(np))))), sqrt(sqrt(sqrt(mul(add(sqrt(ep), sqrt(np)), mul(np, nf)))))), mul(nf, sqrt(mul(sqrt(np), sqrt(mul(sqrt(nf), np)))))))",1.71056,0.10590
SEQ_GP_9,"sub(div(div(div(div(div(1, nf), div(div(add(ef, 1), div(add(nf, 1), ep)), div(ef, nf))), add(mul(np, ef), sub(sub(ef, ep), add(ef, mul(1, 1))))), div(div(ep, div(div(1, nf), add(add(add(nf, add(nf, ef)), mul(ef, 1)), div(ep, add(div(ef, ef), 1))))), div(div(div(add(nf, nf), sub(mul(1, nf), ef)), nf), add(nf, div(ep, nf))))), 1), nf)",1.94514,0.06070
SEQ_GP_10,"add(sub(add(mul(ef, ef), sqrt(np)), sub(sqrt(ef), sub(sqrt(ep), sqrt(ef)))), sub(add(mul(ef, ef), sqrt(add(mul(mul(add(sqrt(sqrt(ep)), sqrt(ef)), div(sqrt(nf), mul(ef, np))), ef), mul(add(mul(sub(sqrt(ep), sqrt(np)), ef), sqrt(mul(1, np))), div(sqrt(nf), mul(sub(sqrt(ep), sqrt(1)), np)))))), sub(1, sub(sub(sqrt(div(1, mul(sub(sqrt(ep), ef), np))), sub(ef, sub(sqrt(div(sqrt(1), mul(1, np))), sub(1, sqrt(mul(ef, np)))))), add(mul(ef, ef), sqrt(np))))))",1.78828,0.06070
