gp11,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp12,102740,1403630,666628,1368265,998508,1232501,607136,1419110,534266,1161282,1252666,42672,1108217,1093243,735276,807596,660902,683571,713378,827988,657472,1004542,649772,694872,1004984,732984,668822,647352,922334,1026921,810276,1419110,1026296,1419110,1024040,1026296,732984,1026296,646506
gp13,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp14,724136,915224,5726,797959,591480,1084343,152476,837828,1069528,1390556,1423360,622670,988311,1069021,771452,477590,0,448975,563334,256690,3430,615574,34734,81466,616426,197722,53784,13550,357026,697041,238294,837828,657322,837828,674554,657322,197722,657322,250096
gp15,716072,915224,28836,797959,614590,1084343,129366,837828,1092638,1413666,1425862,601044,988153,1068649,748342,454480,23110,425865,586444,246684,19680,615574,11624,58356,616426,174612,30674,9560,357026,697041,228288,837828,657322,837828,674554,657322,174612,657322,226986
gp16,121626,1410042,609072,1367553,933812,1231773,600548,1418398,462710,1128798,1241668,30588,1114675,1092753,799692,872012,606818,755111,648682,863508,610248,963926,641552,688284,965184,804540,660602,620368,921622,1026193,845112,1418398,1025568,1418398,1023312,1025568,804540,1025568,718062
gp17,771442,891354,84866,786367,670620,1051679,87738,793798,1148668,1439706,1451976,657074,954629,1046847,717958,408696,79140,391981,612654,190750,75710,585850,44406,2518,586702,118678,25356,65590,312996,670581,239204,793798,627502,797158,644734,627502,121366,627502,185262
gp18,122030,1411562,609476,1369133,934216,1231649,602128,1419978,462834,1128922,1241264,30464,1115443,1093521,801272,871888,608398,754987,649086,865088,611828,965506,643132,689864,966764,806120,662182,621948,923202,1027581,846692,1419978,1027148,1419978,1024892,1027148,806120,1027148,719642
gp19,1026680,675310,712168,659397,258294,592295,616842,641678,1114416,831062,851712,1028384,809187,836893,809556,678276,712168,589269,845380,641678,712168,174602,707282,682574,172180,641678,697058,712168,390344,18255,691720,641678,55924,641006,114052,55924,641678,55924,555200
gp20,806854,878384,183000,821563,768754,1024305,183544,752604,1246802,1420902,1432304,755208,929935,1023747,655498,324676,177274,324621,709936,115452,173844,683984,142540,95808,681562,20448,123490,163724,271802,649377,170100,752604,606202,756060,623434,606202,23232,606202,107022
gp21,724136,915224,5726,797959,591480,1084343,152476,837828,1069528,1390556,1423360,622670,988311,1069021,771452,477590,0,448975,563334,256690,3430,615574,34734,81466,616426,197722,53784,13550,357026,697041,238294,837828,657322,837828,674554,657322,197722,657322,250096
gp22,720032,915224,18908,797959,604662,1084343,139294,837828,1082710,1403738,1424722,609488,988283,1068955,758270,464408,13182,435793,576516,251464,9752,615574,21552,68284,616426,184540,40602,368,357026,697041,233068,837828,657322,837828,674554,657322,184540,657322,236914
